Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,Item 9,Item 10
False,True,False,False,False,True,False,False,False,True
False,False,False,False,True,False,True,True,False,False
False,True,False,False,True,False,True,False,False,False
False,True,True,True,True,False,False,True,False,True
True,False,False,False,True,False,True,False,False,False
False,True,True,False,False,False,False,False,True,True
False,True,True,False,False,False,True,False,False,True
True,True,True,False,True,False,False,False,False,False
False,True,False,False,False,False,True,False,False,False
True,True,False,False,False,True,False,True,False,False
False,True,False,False,True,True,True,False,False,False
False,False,False,False,False,False,False,False,False,False
False,True,True,False,False,True,False,False,False,False
False,True,False,False,True,True,False,False,True,False
False,False,True,False,False,False,False,False,False,True
False,False,False,True,False,False,True,False,False,True
True,False,True,True,False,False,False,False,False,True
False,True,False,True,False,False,False,False,True,False
True,False,False,False,False,False,False,False,True,False
False,True,False,False,True,True,False,False,False,True
False,False,True,False,False,True,False,False,False,False
False,False,False,False,True,True,True,False,False,False
False,True,True,True,False,False,True,True,False,True
True,False,False,True,False,True,True,False,False,False
False,False,True,False,True,False,False,False,True,False
False,False,False,False,False,True,False,False,False,False
True,False,False,False,False,False,False,True,False,False
False,False,True,False,False,False,False,False,True,False
False,False,True,False,True,False,True,False,True,True
False,False,False,False,False,True,False,False,False,False
True,False,False,True,False,False,False,False,True,True
True,True,True,False,False,False,False,False,False,True
False,False,True,True,False,True,False,False,False,True
False,False,True,False,False,False,True,False,True,True
True,False,False,False,True,False,False,False,False,True
True,False,False,False,False,False,False,False,True,True
False,False,False,True,False,False,False,False,True,True
False,True,False,False,False,True,False,True,False,False
True,False,False,False,False,True,True,False,True,False
False,True,False,True,False,True,False,True,True,True
False,True,False,False,False,True,False,True,False,False
False,True,True,False,True,True,False,False,True,True
False,False,False,True,True,True,False,False,True,False
True,False,False,False,False,True,False,False,False,True
False,False,False,False,True,False,False,False,False,False
False,False,False,True,False,True,True,False,False,False
False,False,False,False,False,False,True,True,False,False
False,True,False,True,False,False,True,True,False,False
True,True,False,True,True,True,False,False,False,False
False,False,True,False,True,False,False,False,False,True
False,False,False,False,True,True,True,False,False,False
True,False,False,False,True,False,False,False,True,True
False,False,False,False,False,True,False,True,False,True
False,False,False,False,False,False,True,False,True,False
False,True,True,False,False,True,False,False,False,True
False,False,True,False,False,False,True,True,False,True
False,False,False,False,True,False,True,False,True,True
False,True,False,False,False,True,False,True,False,False
False,False,True,False,False,False,False,False,False,False
False,False,False,False,True,True,False,False,False,False
False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,True,True,False,False,False
False,True,False,False,False,False,False,False,False,False
True,True,False,False,True,False,True,False,False,False
False,False,False,False,False,False,True,True,True,True
True,False,False,True,True,False,False,False,True,True
False,False,False,False,True,True,True,False,False,False
False,False,True,False,False,False,False,False,False,True
True,True,False,False,True,False,True,True,True,False
False,False,False,False,False,True,True,False,False,False
True,True,False,False,False,True,True,False,False,False
False,True,False,False,False,False,False,False,False,True
False,False,True,False,True,False,True,True,False,False
False,False,True,False,False,False,True,False,False,True
False,False,False,False,False,False,True,False,True,True
False,True,False,True,False,False,False,True,False,False
True,False,False,False,True,False,True,False,False,False
False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,True,True,False,False
False,True,False,False,False,False,True,False,False,False
True,False,False,True,False,True,False,True,False,True
False,False,True,False,False,True,False,True,False,False
False,False,False,False,False,False,False,True,False,False
True,False,False,False,True,False,False,False,False,False
False,False,True,True,True,False,True,True,True,True
False,False,False,False,True,True,False,True,True,False
False,False,False,False,True,False,False,True,False,False
False,True,False,False,False,True,False,False,True,False
False,False,False,True,False,False,False,False,True,False
True,False,True,True,True,False,False,True,False,False
False,True,False,False,False,False,False,False,False,False
False,False,True,True,False,False,False,False,False,True
True,True,False,False,False,False,False,True,False,False
False,False,True,False,False,False,False,False,False,False
False,False,False,False,False,True,False,False,False,False
False,True,False,False,True,False,False,True,True,False
False,False,False,False,True,False,True,False,False,False
False,False,False,False,True,False,False,False,False,False
True,True,False,True,False,True,False,True,True,False
False,False,False,False,False,False,True,False,True,False
